fname,tElapsed,z1TransfertTime,z2QuantityTransfered,nTruckAssigned,nTransfertDone,pTransfertDone
data_10_3_0,0.812,120,789,9,21,67.74
data_10_3_1,1.082,84,1030,7,28,46.67
data_10_3_2,1.544,102,949,8,28,58.33
data_10_3_3,0.764,46,498,6,15,31.25
data_10_3_4,1.492,80,968,7,27,45.76
data_12_4_0,11.51,128,995,8,30,40.54
data_12_4_1,12.974,148,1285,9,37,56.06
data_12_4_2,10.566,192,1496,10,45,76.27
data_12_4_3,15.674,160,1470,9,41,59.42
data_12_4_4,8.248,148,1408,9,42,66.67
data_12_6_0,116.325,180,1285,9,40,58.82
data_12_6_1,116.227,264,1493,11,52,89.66
data_12_6_2,158.53,284,1925,11,60,89.55
data_12_6_3,129.402,344,2387,12,72,100.0
data_12_6_4,75.455,264,1846,11,53,88.33
data_14_4_0,12.469,228,1636,11,50,75.76
data_14_4_1,13.827,280,1473,12,43,78.18
data_14_4_2,19.076,224,1720,11,49,62.82
data_14_4_3,11.069,174,856,10,31,50.0
data_14_4_4,22.0,224,1509,11,48,60.0
data_14_6_0,179.878,310,1912,12,56,73.68
data_14_6_1,372.014,328,1615,12,51,72.86
data_14_6_2,267.835,328,1894,12,58,77.33
data_14_6_3,155.441,290,1973,12,58,81.69
data_14_6_4,112.403,248,1322,11,41,66.13
data_16_4_0,46.507,384,2551,14,71,80.68
data_16_4_1,39.72,324,2060,13,66,70.21
data_16_4_2,18.136,324,1616,13,46,71.88
data_16_4_3,29.463,336,1778,13,54,66.67
data_16_4_4,11.37,186,1175,10,35,47.3
data_16_6_0,249.185,290,1591,12,47,55.95
data_16_6_1,162.236,440,2682,14,81,90.0
data_16_6_2,205.61,310,1767,12,51,64.56
data_16_6_3,438.476,454,2193,14,66,79.52
data_16_6_4,501.069,524,2268,15,69,88.46
data_18_4_0,45.011,386,1818,14,57,64.77
data_18_4_1,61.248,576,2472,17,87,94.57
data_18_4_2,40.208,320,2011,13,52,54.17
data_18_4_3,32.814,288,1915,12,52,50.0
data_18_4_4,66.205,386,1980,14,62,63.27
data_18_6_0,260.708,524,2526,15,72,76.6
data_18_6_1,392.485,508,2943,15,83,75.45
data_18_6_2,461.688,598,2728,16,81,86.17
data_18_6_3,295.336,454,2003,14,63,64.95
data_18_6_4,600.0,-1,-1,-1,-1,-1.0
data_20_6_0,661.723,576,3039,16,84,61.31
data_20_6_1,600.0,-1,-1,-1,-1,-1.0
data_20_6_2,363.176,660,2818,17,91,88.35
data_20_6_3,600.0,-1,-1,-1,-1,-1.0
data_20_6_4,600.0,-1,-1,-1,-1,-1.0
data_20_8_0,600.0,-1,-1,-1,-1,-1.0
data_20_8_1,600.0,-1,-1,-1,-1,-1.0
data_20_8_2,600.0,-1,-1,-1,-1,-1.0
data_20_8_3,600.0,-1,-1,-1,-1,-1.0
data_20_8_4,600.0,-1,-1,-1,-1,-1.0
data_25_6_0,600.0,-1,-1,-1,-1,-1.0
data_25_6_1,600.0,-1,-1,-1,-1,-1.0
data_25_6_2,600.0,-1,-1,-1,-1,-1.0
data_25_6_3,600.0,-1,-1,-1,-1,-1.0
data_25_6_4,600.0,-1,-1,-1,-1,-1.0
data_25_8_0,600.0,-1,-1,-1,-1,-1.0
data_25_8_1,600.0,-1,-1,-1,-1,-1.0
data_25_8_2,600.0,-1,-1,-1,-1,-1.0
data_25_8_3,600.0,-1,-1,-1,-1,-1.0
data_25_8_4,600.0,-1,-1,-1,-1,-1.0
