fname,tElapsed,zOpt,zOptCost,zOptPenalty,totalTimeTransfert,totalQuantityTransfered,nTruckAssigned,nTransfertDone,pTransfertDone
data_10_3_0,0.509,3163,160,3003,124,789,9,21,67.74
data_10_3_1,0.562,8454,156,8298,84,1030,7,28,46.67
data_10_3_2,0.674,6659,234,6425,114,949,8,28,58.33
data_10_3_3,0.413,10021,60,9961,48,498,6,15,31.25
data_10_3_4,0.727,10047,192,9855,84,968,7,27,45.76
data_12_4_0,8.811,13508,196,13312,126,988,8,31,41.89
data_12_4_1,7.397,8035,220,7815,148,1285,9,37,56.06
data_12_4_2,6.127,4215,344,3871,192,1496,10,45,76.27
data_12_4_3,11.434,8642,208,8434,160,1470,9,41,59.42
data_12_4_4,3.544,6429,198,6231,160,1408,9,42,66.67
data_12_6_0,70.025,8845,406,8439,180,1271,9,39,57.35
data_12_6_1,62.186,1954,408,1546,276,1493,11,52,89.66
data_12_6_2,174.123,2251,532,1719,292,1925,11,60,89.55
data_12_6_3,62.948,528,528,0,344,2387,12,72,100.0
data_12_6_4,61.679,2625,422,2203,272,1846,11,53,88.33
data_14_4_0,10.294,6023,684,5339,228,1636,11,50,75.76
data_14_4_1,9.479,4376,600,3776,286,1473,12,43,78.18
data_14_4_2,11.663,7568,472,7096,224,1720,11,49,62.82
data_14_4_3,5.428,9744,260,9484,192,856,10,31,50.0
data_14_4_4,11.911,9015,420,8595,228,1509,11,48,60.0
data_14_6_0,122.656,6254,760,5494,316,1912,12,56,73.68
data_14_6_1,308.555,6889,778,6111,338,1615,12,51,72.86
data_14_6_2,237.558,5540,796,4744,328,1894,12,58,77.33
data_14_6_3,125.933,3713,568,3145,314,1973,12,58,81.69
data_14_6_4,159.806,6067,468,5599,272,1322,11,41,66.13
data_16_4_0,27.355,6334,800,5534,384,2551,14,71,80.68
data_16_4_1,20.97,9400,560,8840,324,2060,13,66,70.21
data_16_4_2,9.179,6083,680,5403,336,1616,13,46,71.88
data_16_4_3,22.18,7090,606,6484,336,1778,13,54,66.67
data_16_4_4,4.499,9664,286,9378,194,1167,10,33,44.59
data_16_6_0,196.66,11542,556,10986,290,1590,12,46,54.76
data_16_6_1,114.687,3485,806,2679,444,2682,14,81,90.0
data_16_6_2,319.275,8146,528,7618,344,1764,12,55,69.62
data_16_6_3,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_16_6_4,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_18_4_0,34.252,10910,656,10254,392,1811,14,50,56.82
data_18_4_1,53.99,2653,1352,1301,576,2472,17,87,94.57
data_18_4_2,19.462,12854,368,12486,320,1992,13,54,56.25
data_18_4_3,14.511,15922,522,15400,288,1915,12,52,50.0
data_18_4_4,69.997,9799,486,9313,390,1975,14,59,60.2
data_18_6_0,223.069,6615,1148,5467,536,2526,15,72,76.6
data_18_6_1,195.467,8506,842,7664,524,2943,15,83,75.45
data_18_6_2,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_18_6_3,208.451,9988,662,9326,470,2003,14,63,64.95
data_18_6_4,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_20_6_0,476.017,18159,976,17183,584,3039,16,84,61.31
data_20_6_1,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_20_6_2,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_20_6_3,485.055,10963,942,10021,594,2364,16,72,68.57
data_20_6_4,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_20_8_0,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_20_8_1,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_20_8_2,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_20_8_3,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_20_8_4,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_6_0,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_6_1,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_6_2,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_6_3,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_6_4,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_8_0,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_8_1,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_8_2,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_8_3,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
data_25_8_4,600.0,-1,-1,-1,-1,-1,-1,-1,-1.0
