fname,tElapsed,zOpt,zOptCost,zOptPenalty,nTransfertDone,nTruckAssigned,pTransfertDone
data_10_3_0,0.53,3163,160,3003,21,9,67.74
data_10_3_1,0.575,8454,156,8298,28,7,46.67
data_10_3_2,0.691,6659,234,6425,28,8,58.33
data_10_3_3,0.403,10021,60,9961,15,6,31.25
data_10_3_4,0.723,10047,192,9855,27,7,45.76
data_12_4_0,8.994,13508,196,13312,31,8,41.89
data_12_4_1,8.036,8035,220,7815,37,9,56.06
data_12_4_2,6.188,4215,344,3871,45,10,76.27
data_12_4_3,11.606,8642,208,8434,41,9,59.42
data_12_4_4,3.697,6429,198,6231,42,9,66.67
data_12_6_0,70.511,8845,406,8439,39,9,57.35
data_12_6_1,63.788,1954,408,1546,52,11,89.66
data_12_6_2,176.614,2251,532,1719,60,11,89.55
data_12_6_3,62.408,528,528,0,72,12,100.0
data_12_6_4,63.126,2625,422,2203,53,11,88.33
data_14_4_0,10.426,6023,684,5339,50,11,75.76
data_14_4_1,9.734,4376,600,3776,43,12,78.18
data_14_4_2,11.841,7568,472,7096,49,11,62.82
data_14_4_3,5.555,9744,260,9484,31,10,50.0
data_14_4_4,12.22,9015,420,8595,48,11,60.0
data_14_6_0,125.873,6254,760,5494,56,12,73.68
data_14_6_1,308.347,6889,778,6111,51,12,72.86
data_14_6_2,239.314,5540,796,4744,58,12,77.33
data_14_6_3,126.419,3713,568,3145,58,12,81.69
data_14_6_4,136.334,6067,468,5599,41,11,66.13
data_16_4_0,27.428,6334,800,5534,71,14,80.68
data_16_4_1,21.113,9400,560,8840,66,13,70.21
data_16_4_2,9.089,6083,680,5403,46,13,71.88
data_16_4_3,21.952,7090,606,6484,54,13,66.67
data_16_4_4,4.513,9664,286,9378,33,10,44.59
data_16_6_0,198.037,11542,556,10986,46,12,54.76
data_16_6_1,115.055,3485,806,2679,81,14,90.0
data_16_6_2,310.591,8146,528,7618,55,12,69.62
data_16_6_3,600.0,-1,-1,-1,-1,-1,-1.0
data_16_6_4,600.0,-1,-1,-1,-1,-1,-1.0
data_18_4_0,34.08,10910,656,10254,50,14,56.82
data_18_4_1,53.474,2653,1352,1301,87,17,94.57
data_18_4_2,19.571,12854,368,12486,54,13,56.25
data_18_4_3,14.447,15922,522,15400,52,12,50.0
data_18_4_4,68.957,9799,486,9313,59,14,60.2
data_18_6_0,226.138,6615,1148,5467,72,15,76.6
data_18_6_1,195.451,8506,842,7664,83,15,75.45
data_18_6_2,600.0,-1,-1,-1,-1,-1,-1.0
data_18_6_3,204.135,9988,662,9326,63,14,64.95
data_18_6_4,600.0,-1,-1,-1,-1,-1,-1.0
data_20_6_0,477.613,18159,976,17183,84,16,61.31
data_20_6_1,600.0,-1,-1,-1,-1,-1,-1.0
data_20_6_2,600.0,-1,-1,-1,-1,-1,-1.0
data_20_6_3,484.95,10963,942,10021,72,16,68.57
data_20_6_4,600.0,-1,-1,-1,-1,-1,-1.0
data_20_8_0,600.0,-1,-1,-1,-1,-1,-1.0
data_20_8_1,600.0,-1,-1,-1,-1,-1,-1.0
data_20_8_2,600.0,-1,-1,-1,-1,-1,-1.0
data_20_8_3,600.0,-1,-1,-1,-1,-1,-1.0
data_20_8_4,600.0,-1,-1,-1,-1,-1,-1.0
data_25_6_0,600.0,-1,-1,-1,-1,-1,-1.0
data_25_6_1,600.0,-1,-1,-1,-1,-1,-1.0
data_25_6_2,600.0,-1,-1,-1,-1,-1,-1.0
data_25_6_3,600.0,-1,-1,-1,-1,-1,-1.0
data_25_6_4,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_0,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_1,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_2,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_3,600.0,-1,-1,-1,-1,-1,-1.0
data_25_8_4,600.0,-1,-1,-1,-1,-1,-1.0
